sample_no,pid,ppid,cpu_children_sys,cpu_children_user,cpu_user,cpu_sys,cpu_percent,cpu_num,label
20986731,1053,1,0,0,0.01,0,0,1,0
20986730,1051,1,0,0,0,0,0,1,0
20986664,54,2,0,0,0,0,0,1,0
20986737,1177,1,0,0,0,0.04,0,1,0
20986739,1174,1,0,0,0,0,0,0,0
20986639,27,2,0,0,0,0,0,1,0
20986697,1004,1,0,0,0,0,0,1,0
20986712,506,1,0,0,0,0,0,1,0
20986629,133,2,0,0,0,0,0,1,0
20986630,132,2,0,0,0,0,0,1,0
20986631,131,2,0,0,0,0,0,1,0
20986632,130,2,0,0,0,0,0,1,0
20986633,135,2,0,0,0,0,0,1,0
20986634,134,2,0,0,0,0,0,1,0
20986635,138,2,0,0,0,0,0,1,0
20986637,25,2,0,0,0,0,0,1,0
20986655,263,2,0,0,0,0,0,0,0
20986658,128,2,0,0,0,0,0,1,0
20986661,59,2,0,0,0,0,0,1,0
20986662,58,2,0,0,0,0,0,1,0
20986665,57,2,0,0,0,0,0,1,0
20986666,56,2,0,0,0,0,0,1,0
20986700,60,2,0,0,0,0,0,1,0
20986701,61,2,0,0,0,0,0,1,0
20986702,62,2,0,0,0,0,0,1,0
20986703,63,2,0,0,0,0,0,1,0
20986704,64,2,0,0,0,0,0,1,0
20986671,88,2,0,0,0,0,0,0,0
20986679,1019,1,0,0,0,0,0,1,0
20986643,23,2,0,0,0,0,0,1,0
20986719,1026,1,0,0,0.02,0,0,0,0
20986677,87,2,0,0,0,0,0,0,0
20986647,29,2,0,0,0,0,0,1,0
20986688,846,1,0,0,0,0,0,1,0
20986692,37,2,0,0,0,0,0,1,0
20986651,285,2,0,0,0,0,0,0,0
20986693,36,2,0,0,0,0,0,0,0
20986672,390,2,0,0,0,0,0,1,0
20986674,396,2,0,0,0,0,0,1,0
20986670,393,2,0,0,0,0,0,1,0
20986675,394,2,0,0,0,0,0,1,0
20986740,74,2,0,0,0,0,0,0,0
20986726,1184,1,0,0,0,0,0,1,0
20986644,1076,1,0,0,0,0,0,0,0
20986645,1077,1,0,0,0,0,0,0,0
20986669,375,2,0,0,0,0,0,1,0
20986673,397,2,0,0,0,0,0,1,0
20986652,284,2,0,0,0,0.02,0,1,0
20986687,382,2,0,0,0,0,0,0,0
20986638,26,2,0,0,0,0,0,1,0
20986723,16,2,0,0,0,0,0,0,0
20986642,22,2,0,0,0,0,0,1,0
20986724,19,2,0,0,0,0,0,1,0
20986636,24,2,0,0,0,0,0,1,0
20986659,129,2,0,0,0,0,0,0,0
20986641,21,2,0,0,0,0,0,1,0
20986678,3,2,0,0,0.02,0,0,0,0
20986718,13,2,0,0,0.01,0,0,1,0
20986695,34,2,0,0,0,0,0,1,0
20986710,2,0,0,0,0,0,0,1,0
20986667,53,2,0,0,0,0,0,1,0
20986649,4,2,0,0,0,0,0,0,0
20986733,5,2,0,0,0,0,0,0,0
20986690,31,2,0,0,0,0.04,0,0,0
20986684,586,2,0,0,0,0,0,0,0
20986657,127,2,0,0,0,0,0,0,0
20986683,1013,2,0,0,0,0,0,0,0
20986721,14,2,0,0,0,0,0,1,0
20986720,15,2,0,0,0,0,0,1,0
20986689,32,2,0,0,0,0,0,1,0
20986685,443,2,0,0,0,0.02,0,1,0
20986648,344,2,0,0,0,0,0,1,0
20986628,348,2,0,0,0,0,0,1,0
20986743,350,2,0,0,0,0,0,1,0
20986711,6,2,0,0,0,0,0,0,0
20986691,30,2,0,0,0,0,0,1,0
20986709,69,2,0,0,0,0,0,1,0
20986741,70,2,0,0,0,0,0,1,0
20986668,411,1,0,0,0,0,0,0,0
20986728,1023,1,0,0,0,0,0,1,0
20986646,28,2,0,0,0,0,0,1,0
20986653,1093,1,0,0,0,0,0,1,0
20986734,9,2,0,0,0.02,0,0,0,0
20986656,12,2,0,0,0,0.02,0,1,0
20986722,17,2,0,0,0,0,0,1,0
20986654,1157,1,0,0,0,0,0,0,0
20986725,18,2,0,0,0,0,0,1,0
20986715,1212,1,0,0,0,0.04,0,1,0
20986698,1227,1212,0,0,0,0,0,0,0
20986699,1226,1212,0,0,0.04,0.02,0,1,0
20986727,1183,1,0,0,0.01,0,0,0,0
20986736,1291,1290,0,0,0.14,0.09,0,1,0
20986729,234,2,0,0,0,0,0,0,0
20986650,8,2,0,0,0,0,0,0,0
20986680,7,2,0,0,0,0.12,0,1,0
20986676,398,2,0,0,0,0,0,1,0
20986682,1010,1,0,0,0.01,0.02,0,1,0
20986705,65,2,0,0,0,0,0,1,0
20986707,67,2,0,0,0,0,0,0,0
20986706,66,2,0,0,0,0,0,1,0
20986708,68,2,0,0,0,0,0,1,0
20986627,1267,1,0,0,0,0,0,0,0
20986738,1176,1157,0,0,0,0,0,0,0
20986742,1041,1,0,0,0.21,0.11,0,0,0
20986696,1245,1,0,0,0,0,0,1,0
20986735,1290,1,0,0,0,0,0,1,0
20986732,1,0,2.83,6.33,0.5,2.46,0,1,0
20986686,440,1,0,0,0,0,0,1,0
20986681,365,1,0,0,0.08,0.36,0,0,0
20986714,1037,1,0,0,0,0,0,1,0
20986713,505,1,0,0,0,0,0,1,0
20986660,422,1,0.78,0.25,0.14,0.06,0,1,0
20986626,1268,1267,0,0,0,0,0,1,0
20986663,55,2,0,0,0,0,0,1,0
20986694,35,2,0,0,0,0,0,1,0
20986717,10,2,0,0,0,0,0,0,0
20986716,11,2,0,0,0,0,0,1,0
20986640,20,2,0,0,0,0,0,1,0
20986852,1053,1,0,0,0,0,0,1,0
20986851,1051,1,0,0,0,0,0,1,0
20986785,54,2,0,0,0,0,0,1,0
20986858,1177,1,0,0,0,0,0,1,0
